Wavelength,Intensity
6.336080100000000130e+03,1.100000000000000000e+02
6.336415899999999965e+03,2.100000000000000000e+02
6.337528000000000247e+03,2.100000000000000000e+01
6.337620200000000295e+03,1.600000000000000000e+03
6.339306099999999788e+03,2.500000000000000000e+02
6.339569300000000112e+03,6.400000000000000000e+01
6.339668010000000322e+03,9.400000000000000000e+02
6.340298999999999978e+03,1.400000000000000000e+01
6.340388700000000426e+03,4.400000000000000000e+01
6.341792999999999665e+03,6.000000000000000000e+00
6.341872000000000298e+03,2.100000000000000000e+01
6.342859449999999924e+03,1.500000000000000000e+04
6.343728000000000065e+03,1.000000000000000000e+01
6.344331000000000131e+03,4.000000000000000000e+01
6.345250000000000000e+03,8.000000000000000000e+00
6.345806999999999789e+03,1.200000000000000000e+01
6.346120810000000347e+03,7.100000000000000000e+02
6.348125200000000405e+03,1.000000000000000000e+02
6.348212999999999738e+03,2.000000000000000000e+01
6.348737420000000384e+03,2.600000000000000000e+03
6.350895800000000236e+03,3.200000000000000000e+01
6.352706600000000435e+03,7.300000000000000000e+01
6.355283000000000357e+03,1.000000000000000000e+02
6.355629860000000008e+03,9.300000000000000000e+02
6.355910700000000361e+03,2.200000000000000000e+03
6.356139000000000124e+03,2.000000000000000000e+01
6.356603000000000065e+03,2.000000000000000000e+01
6.357363000000000284e+03,2.000000000000000000e+01
6.359674299999999675e+03,4.900000000000000000e+02
6.360466000000000349e+03,5.100000000000000000e+01
6.361796000000000276e+03,3.000000000000000000e+01
6.362582999999999629e+03,2.000000000000000000e+01
6.362796999999999571e+03,2.000000000000000000e+01
6.364253999999999905e+03,2.100000000000000000e+01
6.364427999999999884e+03,9.400000000000000000e+01
6.364646999999999935e+03,1.200000000000000000e+02
6.364802099999999882e+03,5.400000000000000000e+01
6.365984000000000378e+03,2.000000000000000000e+01
6.366405999999999949e+03,3.000000000000000000e+00
6.367065999999999804e+03,3.000000000000000000e+01
6.367662999999999556e+03,1.000000000000000000e+01
6.369066100000000006e+03,1.400000000000000000e+02
6.369139009999999871e+03,8.000000000000000000e+02
6.369876000000000204e+03,2.000000000000000000e+01
6.370795900000000074e+03,1.200000000000000000e+02
6.371943510000000060e+03,3.000000000000000000e+03
6.372124700000000303e+03,3.300000000000000000e+02
6.372460200000000441e+03,1.700000000000000000e+02
6.374270000000000437e+03,2.100000000000000000e+01
6.376021999999999935e+03,8.000000000000000000e+00
